user_id,video_id,timestamp,watch_seconds,video_duration,watch_fraction,event_type,quiz_shown,quiz_correct,like,save,share,position_in_feed,hashtag,weight,positive,hour,day_of_week,days_since_epoch,confidence
user_143,video_98,2025-08-22 16:10:22.076597,63,177,0.36,play,False,-1.0,0,0,0,9,#edebiyat#11,2.8,0,16,4,599,1.28
user_490,video_121,2025-08-27 14:14:11.077108,31,84,0.37,play,True,1.0,0,0,0,18,#tarih#10#ayt,5.85,1,14,2,604,1.585
user_397,video_170,2025-09-18 13:19:14.077393,32,218,0.15,skip,False,-1.0,0,0,0,5,#paragraf#12#ayt,1.75,0,13,3,626,1.175
user_491,video_6,2025-09-18 12:25:30.077795,146,159,0.92,complete,False,-1.0,0,0,0,4,#paragraf#12#tyt,5.6000000000000005,1,12,3,626,1.56
user_355,video_111,2025-09-06 00:12:01.078093,14,194,0.07,skip,True,1.0,0,0,0,2,#biyoloji#11#tyt,4.35,1,0,5,614,1.435
user_46,video_48,2025-09-09 15:39:29.078492,16,173,0.09,skip,True,0.0,0,0,0,20,#biyoloji#12#tyt,1.45,0,15,1,617,1.145
user_241,video_177,2025-09-07 16:55:54.078788,161,168,0.96,complete,True,1.0,0,0,1,5,#matematik#12#tyt,9.8,1,16,6,615,1.98
user_420,video_33,2025-09-13 23:59:27.079036,136,220,0.62,play,True,1.0,0,0,0,18,#fizik#9,7.1,1,23,5,621,1.71
user_254,video_45,2025-09-06 08:04:54.079271,72,177,0.41,pause,False,-1.0,0,0,0,16,#kimya#11#tyt,3.05,0,8,5,614,1.305
user_187,video_1,2025-09-12 10:48:14.079494,129,158,0.82,play,False,-1.0,1,1,0,11,#paragraf#12#tyt,8.6,1,10,4,620,1.8599999999999999
user_342,video_2,2025-09-05 22:15:53.079753,160,161,0.99,complete,False,-1.0,0,1,0,3,#biyoloji#11#ayt,7.45,1,22,4,613,1.745
user_82,video_172,2025-08-19 21:48:02.080002,9,120,0.08,skip,True,1.0,0,0,1,8,#geometri#10#tyt,5.4,1,21,1,596,1.54
